Rua,Bairro,Cidade,Metragem,Quartos,Banheiros,Vagas,Valor,Moeda,Valor_anuncio,Tipo_anuncio,Valor_anuncio_float
,Boaçava,São Paulo,312,3,4,5,R$ 3.150.000,R$,3.150.000,,3150000.0
,Cidade Jardim,São Paulo,503,4,5,4,R$ 3.600.000,R$,3.600.000,,3600000.0
"Rua Constantino Fraga, , 26 ",Vila Hamburguesa,São Paulo,140,2,2,3,R$ 980.000,R$,980.000,,980000.0
,Granja Julieta,São Paulo,550,4,6,6,R$ 4.950.000,R$,4.950.000,,4950000.0
,Alto de Pinheiros,São Paulo,670,4,5,6,R$ 5.000.000,R$,5.000.000,,5000000.0
"Avenida Armando Ferrentini, 137 ",Paraíso,São Paulo,247,3,5,2,R$ 1.590.000,R$,1.590.000,,1590000.0
,Jardim América,São Paulo,301,4,3,4,R$ 4.200.000,R$,4.200.000,,4200000.0
Rua Vicente Leporace,Campo Belo,São Paulo,480,7,8,4,R$ 2.750.000,R$,2.750.000,,2750000.0
,Vila Tramontano,São Paulo,394,4,4,3,R$ 2.500.000,R$,2.500.000,,2500000.0
Praça Conde de Barcelos,Alto de Pinheiros,São Paulo,279,5,5,4,R$ 4.300.000,R$,4.300.000,,4300000.0
Rua Doutor Aldo de Assis Dias,Vila Isa,São Paulo,125,3,2,2,R$ 730.000,R$,730.000,,730000.0
,Vila Cruzeiro,São Paulo,155,3,4,2,R$ 1.600.000,R$,1.600.000,,1600000.0
,Sumarezinho,São Paulo,240,4,5,2,R$ 2.990.000,R$,2.990.000,,2990000.0
,Santo Amaro,São Paulo,373,3,2,4,R$ 3.500.000,R$,3.500.000,,3500000.0
Rua Conde de Ipanema,Parque Colonial,São Paulo,500,3,5,5,R$ 1.450.000,R$,1.450.000,,1450000.0
,Jardim Leonor,São Paulo,614,5,6,8,R$ 9.000.000,R$,9.000.000,,9000000.0
Rua Camacam,Vila Anastácio,São Paulo,138,2,2,3,R$ 699.000,R$,699.000,,699000.0
,Alto da Lapa,São Paulo,430,5,7,12,R$ 2.000.000,R$,2.000.000,,2000000.0
Rua Bennet,Alto de Pinheiros,São Paulo,531,4,3,6,R$ 3.500.000,R$,3.500.000,,3500000.0
Rua Alberto Hodge,Santo Amaro,São Paulo,271,6,6,2,R$ 1.650.000,R$,1.650.000,,1650000.0
,Jardim Europa,São Paulo,501,4,5,14,R$ 12.000.000,R$,12.000.000,,12000000.0
,Jardim Paulista,São Paulo,1060,5,6,4,R$ 30.000.000,R$,30.000.000,,30000000.0
,Jardim das Bandeiras,São Paulo,420,4,4,6,R$ 3.800.000,R$,3.800.000,,3800000.0
"Rua Mauricina, , 191 ",Vila Romana,São Paulo,170,2,2,4,R$ 1.250.000,R$,1.250.000,,1250000.0
Rua Nova York,Brooklin Paulista,São Paulo,380,5,3,6,R$ 2.500.000,R$,2.500.000,,2500000.0
Rua José Aldo Piassi,São Miguel Paulista,São Paulo,200,3,1,5,R$ 650.000,R$,650.000,,650000.0
,Alto de Pinheiros,São Paulo,520,3,8,10,R$ 3.723.000,R$,3.723.000,,3723000.0
,Vila Madalena,São Paulo,600,4,6,6,R$ 7.000.000,R$,7.000.000,,7000000.0
Rua Antônio Salema,Vila Morse,São Paulo,185,4,6,4,R$ 850.000,R$,850.000,,850000.0
,Vila Tramontano,São Paulo,275,4,5,3,R$ 1.975.000,R$,1.975.000,,1975000.0
Rua Maranduba,Aclimação,São Paulo,165,3,3,1,R$ 1.400.000,R$,1.400.000,,1400000.0
,Jardim Paulista,São Paulo,405,3,3,9,R$ 6.000.000,R$,6.000.000,,6000000.0
,Jardim Guedala,São Paulo,747,5,7,6,R$ 3.400.000,R$,3.400.000,,3400000.0
Rua Brigadeiro Armando Trompowsky,Jardim Morumbi,São Paulo,1705,7,7,6,R$ 12.000.000,R$,12.000.000,,12000000.0
,Jardim Paulista,São Paulo,395,5,6,6,R$ 5.500.000,R$,5.500.000,,5500000.0
,Jardim das Bandeiras,São Paulo,395,4,4,4,R$ 3.000.000,R$,3.000.000,,3000000.0
Viela Um,Jardim Peri,São Paulo,272,3,5,4,R$ 1.910.000,R$,1.910.000,,1910000.0
,Jardim Guedala,São Paulo,294,4,6,4,R$ 6.900.000,R$,6.900.000,,6900000.0
"Rua Paraupava, 176 ",Belenzinho,São Paulo,140,3,3,2,R$ 670.000,R$,670.000,,670000.0
Rua Bela Vista,Santo Amaro,São Paulo,42,5,5,2,R$ 690.000,R$,690.000,,690000.0
Rua Sanharó,Jardim Guedala,São Paulo,905,5,8,10,R$ 5.800.000,R$,5.800.000,,5800000.0
Rua Francisco Bellazzi,Jardim Jaraguá,São Paulo,75,2,1,1,R$ 255.000,R$,255.000,,255000.0
,Vila Madalena,São Paulo,150,3,2,2,R$ 2.150.000,R$,2.150.000,,2150000.0
,Morumbi,São Paulo,401,4,4,11,R$ 2.000.000,R$,2.000.000,,2000000.0
,Vila Madalena,São Paulo,397,4,5,2,R$ 3.200.000,R$,3.200.000,,3200000.0
,Vila Cordeiro,São Paulo,145,2,1,10,R$ 2.100.000,R$,2.100.000,,2100000.0
,Boaçava,São Paulo,605,4,5,3,R$ 4.500.000,R$,4.500.000,,4500000.0
,Jardim Guedala,São Paulo,493,4,40,4,R$ 2.600.000,R$,2.600.000,,2600000.0
,Butantã,São Paulo,342,4,7,8,R$ 2.350.000,R$,2.350.000,,2350000.0
Rua Salvador Longo,Itaim Bibi,São Paulo,124,2,1,2,R$ 1.100.000,R$,1.100.000,,1100000.0
,Vila Progredior,São Paulo,600,4,7,8,R$ 1.800.000,R$,1.800.000,,1800000.0
,Jardim Paulista,São Paulo,555,4,5,4,R$ 12.000.000,R$,12.000.000,,12000000.0
Rua Doutor Roberto Mercatelli,Barra Funda,São Paulo,92,3,2,1,R$ 639.000,R$,639.000,,639000.0
,Santo Amaro,São Paulo,730,7,7,6,R$ 2.700.000,R$,2.700.000,,2700000.0
,Alto da Lapa,São Paulo,278,4,2,6,R$ 1.720.000,R$,1.720.000,,1720000.0
,Jardim Morumbi,São Paulo,620,4,4,10,R$ 4.900.000,R$,4.900.000,,4900000.0
Rua Barão do Rio Pardo,Jardim Morumbi,São Paulo,296,4,3,4,R$ 1.500.000,R$,1.500.000,,1500000.0
,Butantã,São Paulo,605,4,4,4,R$ 3.500.000,R$,3.500.000,,3500000.0
Rua José de Freitas Guimarães,Pacaembu,São Paulo,424,4,2,6,R$ 2.700.000,R$,2.700.000,,2700000.0
"Rua Croata, , 910 ",Vila Ipojuca,São Paulo,205,2,3,2,R$ 1.570.000,R$,1.570.000,,1570000.0
,Jardim Europa,São Paulo,255,4,5,2,R$ 5.350.000,R$,5.350.000,,5350000.0
Rua Dom Duarte Leopoldo,Cambuci,São Paulo,93,2,2,1,R$ 595.000,R$,595.000,,595000.0
,Jardim Petrópolis,São Paulo,434,4,7,3,R$ 8.000.000,R$,8.000.000,,8000000.0
,Jardim Europa,São Paulo,655,5,6,6,R$ 13.500.000,R$,13.500.000,,13500000.0
,Vila Tramontano,São Paulo,261,4,2,5,R$ 1.800.000,R$,1.800.000,,1800000.0
Praça Louveira,Tatuapé,São Paulo,255,4,2,3,R$ 1.350.000,R$,1.350.000,,1350000.0
,Jardim Marajoara,São Paulo,405,4,3,4,R$ 2.950.000,R$,2.950.000,,2950000.0
,Cidade Patriarca,São Paulo,365,5,3,4,R$ 990.000,R$,990.000,,990000.0
Rua Feliciano Maia,Jardim Paulista,São Paulo,305,3,2,3,R$ 3.950.000,R$,3.950.000,,3950000.0
,Santo Amaro,São Paulo,205,3,5,3,R$ 1.790.000,R$,1.790.000,,1790000.0
,Morumbi,São Paulo,485,4,5,3,R$ 3.200.000,R$,3.200.000,,3200000.0
Rua Estela,Vila Mariana,São Paulo,94,3,2,2,R$ 860.000,R$,860.000,,860000.0
Avenida Tomás de Sousa,Jardim Monte Azul,São Paulo,325,4,5,7,R$ 1.000.000,R$,1.000.000,,1000000.0
,Jardim América,São Paulo,680,4,6,9,R$ 25.000.000,R$,25.000.000,,25000000.0
,Jardim Paulista,São Paulo,455,3,4,7,R$ 3.800.000,R$,3.800.000,,3800000.0
,Jardim Leonor,São Paulo,905,5,5,3,R$ 6.500.000,R$,6.500.000,,6500000.0
,Alto de Pinheiros,São Paulo,471,4,6,5,R$ 7.250.000,R$,7.250.000,,7250000.0
,Chácara Santo Antônio (Zona Sul),São Paulo,355,4,4,3,R$ 3.800.000,R$,3.800.000,,3800000.0
,Cidade São Mateus,São Paulo,61,1,1,1,R$ 147.288,R$,147.288,,147288.0
Rua Sebastião Caleiro,Vila Madalena,São Paulo,335,4,3,4,R$ 1.850.000,R$,1.850.000,,1850000.0
,Jardim América,São Paulo,485,4,5,4,R$ 19.000.000,R$,19.000.000,,19000000.0
,Jardim Paulista,São Paulo,265,4,4,7,R$ 4.500.000,R$,4.500.000,,4500000.0
,Jardim Paulista,São Paulo,475,4,8,6,R$ 18.000.000,R$,18.000.000,,18000000.0
,Lapa,São Paulo,368,3,3,3,R$ 1.650.000,R$,1.650.000,,1650000.0
Rua Petrópolis,Sumaré,São Paulo,405,4,6,4,R$ 3.000.000,R$,3.000.000,,3000000.0
,Jardim Luzitânia,São Paulo,605,3,6,5,R$ 12.000.000,R$,12.000.000,,12000000.0
,Jardim Europa,São Paulo,648,4,4,7,R$ 18.000.000,R$,18.000.000,,18000000.0
,Vila Guarani (Z Sul),São Paulo,185,5,3,2,R$ 600.000,R$,600.000,,600000.0
Rua Maria Clara Martins da Silveira,Jurubatuba,São Paulo,161,2,4,3,R$ 640.000,R$,640.000,,640000.0
,Sumaré,São Paulo,335,3,6,3,R$ 3.200.000,R$,3.200.000,,3200000.0
Largo Mestre de Aviz,Jardim Luzitânia,São Paulo,459,4,6,4,R$ 3.850.000,R$,3.850.000,,3850000.0
,Boaçava,São Paulo,317,3,4,5,R$ 3.150.000,R$,3.150.000,,3150000.0
Rua Maestro Elias Lobo,Jardim Paulista,São Paulo,300,3,6,3,R$ 4.900.000,R$,4.900.000,,4900000.0
,Cidade Jardim,São Paulo,508,4,5,4,R$ 3.600.000,R$,3.600.000,,3600000.0
"Rua Constantino Fraga, , 26 ",Vila Hamburguesa,São Paulo,145,2,2,3,R$ 980.000,R$,980.000,,980000.0
Avenida Ireré,Planalto Paulista,São Paulo,430,4,5,3,R$ 2.780.000,R$,2.780.000,,2780000.0
,Granja Julieta,São Paulo,555,4,6,6,R$ 4.950.000,R$,4.950.000,,4950000.0
,Alto de Pinheiros,São Paulo,675,4,5,6,R$ 5.000.000,R$,5.000.000,,5000000.0
"Avenida Armando Ferrentini, 137 ",Paraíso,São Paulo,252,3,5,2,R$ 1.590.000,R$,1.590.000,,1590000.0
,Jardim América,São Paulo,306,4,3,4,R$ 4.200.000,R$,4.200.000,,4200000.0
Rua Vicente Leporace,Campo Belo,São Paulo,485,7,8,4,R$ 2.750.000,R$,2.750.000,,2750000.0
,Vila Tramontano,São Paulo,399,4,4,3,R$ 2.500.000,R$,2.500.000,,2500000.0
Praça Conde de Barcelos,Alto de Pinheiros,São Paulo,284,5,5,4,R$ 4.300.000,R$,4.300.000,,4300000.0
Rua Doutor Aldo de Assis Dias,Vila Isa,São Paulo,130,3,2,2,R$ 730.000,R$,730.000,,730000.0
Rua Bartira,Perdizes,São Paulo,200,2,2,1,R$ 1.400.000,R$,1.400.000,,1400000.0
,Vila Cruzeiro,São Paulo,160,3,4,2,R$ 1.600.000,R$,1.600.000,,1600000.0
Rua Quirino Pucca,Vila Romana,São Paulo,80,1,1,2,R$ 480.000,R$,480.000,,480000.0
,Sumarezinho,São Paulo,245,4,5,2,R$ 2.990.000,R$,2.990.000,,2990000.0
,Santo Amaro,São Paulo,378,3,2,4,R$ 3.500.000,R$,3.500.000,,3500000.0
Rua Conde de Ipanema,Parque Colonial,São Paulo,505,3,5,5,R$ 1.450.000,R$,1.450.000,,1450000.0
,Jardim Leonor,São Paulo,619,5,6,8,R$ 9.000.000,R$,9.000.000,,9000000.0
Rua Camacam,Vila Anastácio,São Paulo,143,2,2,3,R$ 699.000,R$,699.000,,699000.0
,Alto da Lapa,São Paulo,435,5,7,12,R$ 2.000.000,R$,2.000.000,,2000000.0
Rua Bennet,Alto de Pinheiros,São Paulo,536,4,3,6,R$ 3.500.000,R$,3.500.000,,3500000.0
Rua Alberto Hodge,Santo Amaro,São Paulo,276,6,6,2,R$ 1.650.000,R$,1.650.000,,1650000.0
,Jardim Europa,São Paulo,506,4,5,14,R$ 12.000.000,R$,12.000.000,,12000000.0
,Jardim Paulista,São Paulo,1065,5,6,4,R$ 30.000.000,R$,30.000.000,,30000000.0
,Jardim das Bandeiras,São Paulo,425,4,4,6,R$ 3.800.000,R$,3.800.000,,3800000.0
"Rua Mauricina, , 191 ",Vila Romana,São Paulo,175,2,2,4,R$ 1.250.000,R$,1.250.000,,1250000.0
Rua Nova York,Brooklin Paulista,São Paulo,385,5,3,6,R$ 2.500.000,R$,2.500.000,,2500000.0
Rua José Aldo Piassi,São Miguel Paulista,São Paulo,205,3,1,5,R$ 650.000,R$,650.000,,650000.0
,Alto de Pinheiros,São Paulo,525,3,8,10,R$ 3.723.000,R$,3.723.000,,3723000.0
,Vila Madalena,São Paulo,605,4,6,6,R$ 7.000.000,R$,7.000.000,,7000000.0
,Pacaembu,São Paulo,388,4,4,3,R$ 8.000.000,R$,8.000.000,,8000000.0
,Pacaembu,São Paulo,450,4,5,3,R$ 4.300.000,R$,4.300.000,,4300000.0
Rua Nova York,Brooklin Paulista,São Paulo,385,5,3,6,R$ 2.500.000,R$,2.500.000,,2500000.0
Rua José Aldo Piassi,São Miguel Paulista,São Paulo,205,3,1,5,R$ 650.000,R$,650.000,,650000.0
,Alto de Pinheiros,São Paulo,525,3,8,10,R$ 3.723.000,R$,3.723.000,,3723000.0
,Vila Madalena,São Paulo,605,4,6,6,R$ 7.000.000,R$,7.000.000,,7000000.0
,Pacaembu,São Paulo,393,4,4,3,R$ 8.000.000,R$,8.000.000,,8000000.0
,Pacaembu,São Paulo,455,4,5,3,R$ 4.300.000,R$,4.300.000,,4300000.0
Rua Sampaio Vidal,Jardim Paulistano,São Paulo,380,4,4,4,R$ 5.100.000,R$,5.100.000,,5100000.0
,Itaberaba,São Paulo,220,3,3,4,R$ 1.290.000,R$,1.290.000,,1290000.0
,Granja Julieta,São Paulo,483,4,4,3,R$ 3.900.000,R$,3.900.000,,3900000.0
,Cidade Jardim,São Paulo,350,3,4,4,R$ 3.800.000,R$,3.800.000,,3800000.0
Rua Camundo,Planalto Paulista,São Paulo,155,3,4,3,R$ 790.000,R$,790.000,,790000.0
Rua Wilson Dupont,Santana,São Paulo,170,3,3,1,R$ 905.000,R$,905.000,,905000.0
Rua Tapinas,Itaim Bibi,São Paulo,156,4,3,2,R$ 1.820.000,R$,1.820.000,,1820000.0
,Jardim Luzitânia,São Paulo,385,3,5,4,R$ 9.800.000,R$,9.800.000,,9800000.0
,Chácara Santo Antônio (Zona Sul),São Paulo,283,3,5,3,R$ 3.000.000,R$,3.000.000,,3000000.0
Rua Arapuã,Vila Guarani (Z Sul),São Paulo,138,3,3,2,R$ 550.000,R$,550.000,,550000.0
Rua Bolívia,Jardim América,São Paulo,420,4,5,6,R$ 8.900.000,R$,8.900.000,,8900000.0
,Pacaembu,São Paulo,456,4,5,11,R$ 3.200.000,R$,3.200.000,,3200000.0
,Vila Salete,São Paulo,174,3,2,2,R$ 640.000,R$,640.000,,640000.0
,Cidade Jardim,São Paulo,1100,4,4,14,R$ 12.800.000,R$,12.800.000,,12800000.0
"Rua Simpatia, 401 ",Jardim das Bandeiras,São Paulo,476,4,3,4,R$ 3.640.000,R$,3.640.000,,3640000.0
,Jardim Guedala,São Paulo,960,4,6,6,R$ 4.800.000,R$,4.800.000,,4800000.0
Rua Inácio Pedroso,Jardim Guedala,São Paulo,678,4,6,6,R$ 7.300.000,R$,7.300.000,,7300000.0
Rua Doutor Manoel Maria Tourinho,Pacaembu,São Paulo,495,5,5,4,R$ 4.000.000,R$,4.000.000,,4000000.0
"Rua Apinajés, 282 ",Perdizes,São Paulo,200,3,4,3,R$ 2.660.000,R$,2.660.000,,2660000.0
,Indianópolis,São Paulo,280,4,2,2,R$ 2.450.000,R$,2.450.000,,2450000.0
Rua Vieira de Almeida,Ipiranga,São Paulo,130,3,2,5,R$ 1.200.000,R$,1.200.000,,1200000.0
Rua Irmão Gonçalo,Jardim das Bandeiras,São Paulo,815,6,5,8,R$ 8.000.000,R$,8.000.000,,8000000.0
,Alto de Pinheiros,São Paulo,320,3,3,3,R$ 3.750.000,R$,3.750.000,,3750000.0
,Alto de Pinheiros,São Paulo,420,5,4,4,R$ 4.650.000,R$,4.650.000,,4650000.0
,Vila Cruzeiro,São Paulo,200,3,3,2,R$ 1.160.000,R$,1.160.000,,1160000.0
"Rua Afonso José de Carvalho, 125 ",Vila Madalena,São Paulo,180,3,2,4,R$ 1.600.000,R$,1.600.000,,1600000.0
Rua Muribeca,Cidade Jardim,São Paulo,420,4,5,3,R$ 3.000.000,R$,3.000.000,,3000000.0
,Chora Menino,São Paulo,256,3,4,4,R$ 822.000,R$,822.000,,822000.0
,Vila Campo Grande,São Paulo,229,2,3,1,R$ 420.000,R$,420.000,,420000.0
,Jardim Ana Maria,São Paulo,491,4,5,8,R$ 4.600.000,R$,4.600.000,,4600000.0
"Rua Thereza Masironi Gonfiantini, 244 ",Vila Nova Alba,São Paulo,147,3,3,2,R$ 500.000,R$,500.000,,500000.0
,Vila Nova Caledonia,São Paulo,300,4,4,4,R$ 1.600.000,R$,1.600.000,,1600000.0
Rua Maracaibo,Jardim Everest,São Paulo,600,3,7,6,R$ 4.950.000,R$,4.950.000,,4950000.0
Rua Barão do Bananal,Vila Pompéia,São Paulo,106,3,2,2,R$ 920.000,R$,920.000,,920000.0
Travessa Doutor Ezequiel Antunes de Oliveira,Vila Nova Conceição,São Paulo,170,3,4,3,R$ 2.690.000,R$,2.690.000,,2690000.0
,Vila Madalena,São Paulo,330,3,3,2,R$ 5.800.000,R$,5.800.000,,5800000.0
,Pacaembu,São Paulo,1171,5,7,10,R$ 16.000.000,R$,16.000.000,,16000000.0
,Campo Belo,São Paulo,380,3,4,5,R$ 2.800.000,R$,2.800.000,,2800000.0
Rua Abegoaria,Pinheiros,São Paulo,686,4,6,6,R$ 5.800.000,R$,5.800.000,,5800000.0
Rua Pedro Osório Filho,Vila Nova Cachoeirinha,São Paulo,180,3,3,2,R$ 650.000,R$,650.000,,650000.0
,Jardim Trussardi,São Paulo,240,3,4,4,R$ 3.000.000,R$,3.000.000,,3000000.0
Alameda dos Guatás,Saúde,São Paulo,90,2,4,2,R$ 750.000,R$,750.000,,750000.0
,Pacaembu,São Paulo,520,6,6,5,R$ 2.500.000,R$,2.500.000,,2500000.0
Alameda dos Anapurus,Indianópolis,São Paulo,218,3,3,3,R$ 1.690.000,R$,1.690.000,,1690000.0
Rua Portugal,Jardim Europa,São Paulo,319,3,3,4,R$ 5.000.000,R$,5.000.000,,5000000.0
,Vila Tramontano,São Paulo,414,4,5,5,R$ 1.780.000,R$,1.780.000,,1780000.0
,Pacaembu,São Paulo,709,4,5,10,R$ 9.600.000,R$,9.600.000,,9600000.0
,Jardim Paulista,São Paulo,301,4,3,4,R$ 6.950.000,R$,6.950.000,,6950000.0
Rua Antônio de Gouveia Giudice,Alto de Pinheiros,São Paulo,331,3,5,3,R$ 3.500.000,R$,3.500.000,,3500000.0
"Rua Comandante Garcia D'Ávila, 64 ",Morumbi,São Paulo,393,6,6,4,R$ 1.390.000,R$,1.390.000,,1390000.0
,Vila Cordeiro,São Paulo,1126,4,6,24,R$ 6.400.000,R$,6.400.000,,6400000.0
"Rua Dom Henrique, 450 ",Jardim Luzitânia,São Paulo,395,4,7,3,R$ 6.600.000,R$,6.600.000,,6600000.0
,Jardim Guedala,São Paulo,862,4,9,8,R$ 8.250.000,R$,8.250.000,,8250000.0
"Rua Luiz Amorim Costa, 0 ",Vila Carolina,São Paulo,160,3,2,3,R$ 400.000,R$,400.000,,400000.0
,Campo Belo,São Paulo,428,5,7,3,R$ 2.800.000,R$,2.800.000,,2800000.0
,Cidade Jardim,São Paulo,550,4,1,6,R$ 4.800.000,R$,4.800.000,,4800000.0
Avenida Celso dos Santos,Vila Constança,São Paulo,100,2,2,2,R$ 480.000,R$,480.000,,480000.0
,Vila Carbone,São Paulo,92,2,1,2,R$ 340.000,R$,340.000,,340000.0
,Alto de Pinheiros,São Paulo,316,3,3,6,R$ 6.000.000,R$,6.000.000,,6000000.0
,Brooklin Paulista,São Paulo,350,4,4,4,R$ 2.000.000,R$,2.000.000,,2000000.0
,Penha de França,São Paulo,180,3,1,3,R$ 750.000,R$,750.000,,750000.0
Rua Turquia,Pinheiros,São Paulo,1100,4,6,8,R$ 19.000.000,R$,19.000.000,,19000000.0
,Jardim América,São Paulo,1000,5,8,8,R$ 30.000.000,R$,30.000.000,,30000000.0
Rua Gama Cerqueira,Cambuci,São Paulo,281,3,5,3,R$ 1.490.000,R$,1.490.000,,1490000.0
,Jardim Paulista,São Paulo,1150,5,7,7,R$ 27.000.000,R$,27.000.000,,27000000.0
Rua Almeida Ferraz,Parque Jabaquara,São Paulo,126,4,3,3,R$ 695.000,R$,695.000,,695000.0
"Rua Pirapó, 222 ",Jardim Guedala,São Paulo,650,3,3,3,R$ 5.500.000,R$,5.500.000,,5500000.0
"Rua Jupuruchita, 168 ",Alto da Mooca,São Paulo,190,3,1,3,R$ 1.049.400,R$,1.049.400,,1049400.0
Rua Senador Vergueiro,Santo Amaro,São Paulo,350,3,4,6,R$ 2.950.000,R$,2.950.000,,2950000.0
Rua Líbero Ripole,Jardim Umuarama,São Paulo,250,3,1,1,R$ 950.000,R$,950.000,,950000.0
Rua Orobó,Alto de Pinheiros,São Paulo,295,4,4,4,R$ 4.000.000,R$,4.000.000,,4000000.0
,Vila Adalgisa,São Paulo,250,3,5,3,R$ 750.000,R$,750.000,,750000.0
,Santo Amaro,São Paulo,270,3,4,3,R$ 2.080.000,R$,2.080.000,,2080000.0
,Mirandópolis,São Paulo,378,4,4,7,R$ 2.000.000,R$,2.000.000,,2000000.0
,Boaçava,São Paulo,422,5,8,6,R$ 4.500.000,R$,4.500.000,,4500000.0
"Rua Engenheiro Pedro Garcin, 190 ",Vila Antônio,São Paulo,110,2,1,2,R$ 480.000,R$,480.000,,480000.0
Rua Mário Guastini,Pinheiros,São Paulo,700,5,7,5,R$ 9.500.000,R$,9.500.000,,9500000.0
Rua Domingos Lopes,Campo Belo,São Paulo,145,3,3,2,R$ 900.000,R$,900.000,,900000.0
Rua Ática,Jardim Brasil (Zona Sul),São Paulo,174,3,4,1,R$ 599.000,R$,599.000,,599000.0
"Rua Ajurapéia, 65 ",Vila Madalena,São Paulo,210,3,1,2,R$ 1.050.000,R$,1.050.000,,1050000.0
,Jardim Leonor,São Paulo,491,4,8,4,R$ 3.100.000,R$,3.100.000,,3100000.0
Avenida Iraí,Indianópolis,São Paulo,420,4,7,4,R$ 1.800.000,R$,1.800.000,,1800000.0
Rua Nova Orleans,Brooklin Paulista,São Paulo,150,2,3,4,R$ 1.590.000,R$,1.590.000,,1590000.0
Rua Maria Teresa Assunção,Vila São Geraldo,São Paulo,160,3,3,2,R$ 636.000,R$,636.000,,636000.0
Rua Vicente Romano,Parque da Mooca,São Paulo,341,4,3,4,R$ 2.300.000,R$,2.300.000,,2300000.0
Rua Manuel Galvão,Mooca,São Paulo,106,3,3,2,R$ 450.000,R$,450.000,,450000.0
,Jardim América,São Paulo,815,4,6,4,R$ 25.500.000,R$,25.500.000,,25500000.0
,Jardim Guedala,São Paulo,560,4,6,3,R$ 6.800.000,R$,6.800.000,,6800000.0
Rua Stefan Marek Neuding,Jardim Sílvia (Zona Oeste),São Paulo,1643,4,8,10,R$ 4.495.000,R$,4.495.000,,4495000.0
Rua Alemanha,Jardim Europa,São Paulo,600,4,4,7,R$ 13.500.000,R$,13.500.000,,13500000.0
"Rua Kalil Filho, 157 ",Indianópolis,São Paulo,225,3,2,2,R$ 1.850.000,R$,1.850.000,,1850000.0
Rua Pau Brasil,Boaçava,São Paulo,296,3,2,5,R$ 2.750.000,R$,2.750.000,,2750000.0
,Vila Cordeiro,São Paulo,200,4,6,4,R$ 3.600.000,R$,3.600.000,,3600000.0
,Jardim Monte Kemel,São Paulo,158,2,1,1,R$ 480.000,R$,480.000,,480000.0
Avenida Doutor Cardoso de Melo,Vila Olímpia,São Paulo,200,2,3,2,R$ 2.900.000,R$,2.900.000,,2900000.0
,Pacaembu,São Paulo,240,5,7,6,R$ 2.980.000,R$,2.980.000,,2980000.0
Rua Raqueta Provensano,Chácara Califórnia,São Paulo,140,2,1,2,R$ 1.400.000,R$,1.400.000,,1400000.0
,Jardim Bonfiglioli,São Paulo,115,3,1,1,R$ 500.000,R$,500.000,,500000.0
,Jardim Paulista,São Paulo,300,4,5,4,R$ 5.500.000,R$,5.500.000,,5500000.0
Rua Professor Murtinho,Vila Mariana,São Paulo,290,4,5,2,R$ 2.900.000,R$,2.900.000,,2900000.0
Rua Alexandre Marcondes Machado,Butantã,São Paulo,371,3,4,3,R$ 2.800.000,R$,2.800.000,,2800000.0
Rua Marquês de Cascais,Brooklin Paulista,São Paulo,146,3,4,3,R$ 1.500.000,R$,1.500.000,,1500000.0
,Jardim Guedala,São Paulo,650,3,4,3,R$ 6.500.000,R$,6.500.000,,6500000.0
,Fazenda Morumbi,São Paulo,961,4,12,9,R$ 6.500.000,R$,6.500.000,,6500000.0
,Vila Ida,São Paulo,440,4,6,6,R$ 5.750.000,R$,5.750.000,,5750000.0
,Alto de Pinheiros,São Paulo,722,4,11,10,R$ 6.200.000,R$,6.200.000,,6200000.0
Rua Topázio,Vila Mariana,São Paulo,300,4,5,4,R$ 1.900.000,R$,1.900.000,,1900000.0
,Itaim Bibi,São Paulo,170,2,3,3,R$ 3.300.000,R$,3.300.000,,3300000.0
Rua Doutor Augusto de Miranda,Vila Pompéia,São Paulo,110,3,3,1,R$ 970.000,R$,970.000,,970000.0
,Pacaembu,São Paulo,380,3,1,2,R$ 1.900.000,R$,1.900.000,,1900000.0
,Jardim Panorama,São Paulo,374,5,4,6,R$ 3.200.000,R$,3.200.000,,3200000.0
Rua Dom Lucas Obes,Ipiranga,São Paulo,140,3,2,2,R$ 750.000,R$,750.000,,750000.0
"Rua Dezenove de Maio, 401 ",Vila ESão Pauloerança,São Paulo,170,3,3,2,R$ 680.000,R$,680.000,,680000.0
Rua Morishigue Akagui,Vila Progredior,São Paulo,700,4,8,5,R$ 7.800.000,R$,7.800.000,,7800000.0
Rua Miranda Guerra,Jardim Petrópolis,São Paulo,255,3,3,5,R$ 1.400.000,R$,1.400.000,,1400000.0
Rua General Sena Vasconcelos,Jardim Guedala,São Paulo,521,4,7,4,R$ 3.750.000,R$,3.750.000,,3750000.0
,Jardim Europa,São Paulo,800,4,6,8,R$ 23.600.000,R$,23.600.000,,23600000.0
,Boaçava,São Paulo,433,4,4,10,R$ 6.000.000,R$,6.000.000,,6000000.0
,Jardim Ester,São Paulo,125,3,1,3,R$ 599.000,R$,599.000,,599000.0
,Interlagos,São Paulo,250,3,3,4,R$ 1.200.000,R$,1.200.000,,1200000.0
Rua Capital Federal,Sumaré,São Paulo,646,5,4,3,R$ 2.640.000,R$,2.640.000,,2640000.0
,Jardim Guedala,São Paulo,918,5,3,16,R$ 9.000.000,R$,9.000.000,,9000000.0
,Jardim América,São Paulo,480,5,3,3,R$ 8.200.000,R$,8.200.000,,8200000.0
,Jardim Leonor,São Paulo,850,4,6,6,R$ 5.990.000,R$,5.990.000,,5990000.0
,Cidade Jardim,São Paulo,410,2,2,4,R$ 3.000.000,R$,3.000.000,,3000000.0
