Rua,Bairro,Cidade,Metragem,Quartos,Banheiros,Vagas,Valor,Moeda,Valor_anuncio,Tipo_anuncio,Valor_anuncio_float
Rua Kansas,Brooklin Paulista,São Paulo,180,3,3,3,R$ 1.100.000,R$,1.100.000,,1100000.0
"Rua Comendador Armando Pereira, 309 ",Tremembé,São Paulo,151,3,3,8,R$ 520.000,R$,520.000,,520000.0
Rua Santo Adauto,Vila Minerva,São Paulo,170,3,2,2,R$ 325.000,R$,325.000,,325000.0
Rua dos Maracujás,Vila Mazzei,São Paulo,211,4,7,8,R$ 890.000,R$,890.000,,890000.0
"Avenida Raimundo Pereira de Magalhães, 6000 ",Pirituba,São Paulo,102,3,4,2,R$ 409.000,R$,409.000,,409000.0
Rua Nicolau Barreto,Vila Cordeiro,São Paulo,177,3,5,2,R$ 1.500.000,R$,1.500.000,,1500000.0
,Chácara Santo Antônio (Zona Sul),São Paulo,190,2,2,2,R$ 1.100.000,R$,1.100.000,,1100000.0
,Jardim Guedala,São Paulo,650,4,6,4,R$ 5.500.000,R$,5.500.000,,5500000.0
Rua Salvador Fontoura,Parque Boturussu,São Paulo,210,3,2,6,R$ 250.000,R$,250.000,,250000.0
,Vila Arriete,São Paulo,200,4,3,2,R$ 775.000,R$,775.000,,775000.0
Rua Inglaterra,Jardim Europa,São Paulo,200,3,3,2,R$ 13.000,R$,13.000,,13000.0
Rua Peribebuí,Alto da Lapa,São Paulo,440,4,6,7,R$ 2.200.000,R$,2.200.000,,2200000.0
"Avenida João XXIII, 925 ",Vila Formosa,São Paulo,225,2,2,2,R$ 780.000,R$,780.000,,780000.0
Rua Taiaçupeba,Quinta da Paineira,São Paulo,350,3,5,6,R$ 980.000,R$,980.000,,980000.0
"Rua Coronel Virgílio dos Santos, 271 ",Vila Jaguara,São Paulo,220,3,3,2,R$ 750.000,R$,750.000,,750000.0
"Rua da Paz, 89 ",Alto da Boa Vista,São Paulo,386,4,4,5,R$ 1.680.000,R$,1.680.000,,1680000.0
"Rua Major Alfredo Romão, 92 ",Vila Clarice,São Paulo,99,3,2,2,R$ 650.000,R$,650.000,,650000.0
Rua Bolívia,Jardim América,São Paulo,663,4,7,6,R$ 14.500.000,R$,14.500.000,,14500000.0
Rua General Fonseca Teles,Jardim Paulista,São Paulo,420,4,6,3,R$ 8.700.000,R$,8.700.000,,8700000.0
"Rua Pataíba, 89 ",Tucuruvi,São Paulo,211,3,3,3,R$ 1.237.000,R$,1.237.000,,1237000.0
"Rua Doutor Milton de Souza Meirelles, 364 ",Parque Continental,São Paulo,180,3,4,4,R$ 950.000,R$,950.000,,950000.0
"Avenida Amador Bueno da Veiga, 3272 ",Penha de França,São Paulo,150,4,1,5,R$ 510.000,R$,510.000,,510000.0
Rua Maria Tereza Farabulini Rodrigues,Parque Continental,São Paulo,200,3,5,3,R$ 1.500.000,R$,1.500.000,,1500000.0
Rua Doutor Franco da Rocha,Perdizes,São Paulo,452,4,6,2,R$ 4.240.000,R$,4.240.000,,4240000.0
Rua Caetano Braga,Conjunto Residencial José Bonifácio,São Paulo,129,3,2,2,R$ 490.000,R$,490.000,,490000.0
Rua Francisco de Paula Brito,Planalto Paulista,São Paulo,250,3,4,4,R$ 2.190.000,R$,2.190.000,,2190000.0
Rua dos Comerciários,Cidade Vargas,São Paulo,250,3,3,5,R$ 2.180.000,R$,2.180.000,,2180000.0
Rua Francisco Correia Dutra,Jardim Maria Luiza,São Paulo,152,2,3,2,R$ 398.000,R$,398.000,,398000.0
Rua Joaquim de Almeida,Mirandópolis,São Paulo,192,4,2,2,R$ 950.000,R$,950.000,,950000.0
Rua Elisa Rodrigues,Planalto Paulista,São Paulo,184,4,3,4,R$ 1.390.000,R$,1.390.000,,1390000.0
Rua José Sebastião de Sá,Jardim do Carmo,São Paulo,100,2,2,1,R$ 530.000,R$,530.000,,530000.0
Rua Amandaba,Jardim Prudência,São Paulo,253,4,4,2,R$ 1.280.000,R$,1.280.000,,1280000.0
"Rua Cordisburgo, 251 ",Jardim Leonor,São Paulo,850,4,8,6,R$ 6.500.000,R$,6.500.000,,6500000.0
"Rua Carlos Rath, 103 ",Alto de Pinheiros,São Paulo,400,5,4,4,R$ 2.900.000,R$,2.900.000,,2900000.0
,Alto de Pinheiros,São Paulo,358,4,4,4,R$ 3.500.000,R$,3.500.000,,3500000.0
Rua Luís Ramos Figueira,Vila Suzana,São Paulo,140,3,4,2,R$ 775.000,R$,775.000,,775000.0
Rua dos Aliados,Alto da Lapa,São Paulo,500,5,7,7,R$ 3.500.000,R$,3.500.000,,3500000.0
,Planalto Paulista,São Paulo,119,2,2,2,R$ 670.000,R$,670.000,,670000.0
,Jardim Guedala,São Paulo,650,4,7,4,R$ 3.500.000,R$,3.500.000,,3500000.0
Rua Doutor Nicolau ASão Paulorino Júnior,Vila Brasílio Machado,São Paulo,250,3,3,3,R$ 1.500.000,R$,1.500.000,,1500000.0
"Rua José Barbosa, 186 ",Jardim das Vertentes,São Paulo,84,3,3,2,R$ 470.000,R$,470.000,,470000.0
Rua Iagari,Alto da Lapa,São Paulo,243,3,5,3,R$ 2.400.000,R$,2.400.000,,2400000.0
"Rua Júlio Rua Perez, 16 ",Campo Belo,São Paulo,145,4,3,2,R$ 1.350.000,R$,1.350.000,,1350000.0
"Rua Marechal Barbacena, 1392 ",Vila Regente Feijó,São Paulo,150,3,2,2,R$ 800.000,R$,800.000,,800000.0
"Rua Plínio Mota, 59 ",Vila Tolstoi,São Paulo,240,3,3,7,R$ 890.000,R$,890.000,,890000.0
"Rua Belarmino Cardoso de Andrade, 151 ",Terceira Divisão de Interlagos,São Paulo,167,3,4,2,R$ 630.000,R$,630.000,,630000.0
Rua Camberra,Vila Formosa,São Paulo,256,4,3,1,R$ 1.063.830,R$,1.063.830,,1063830.0
,Vila Moinho Velho,São Paulo,220,4,3,2,R$ 750.000,R$,750.000,,750000.0
Rua Marechal Bitencourt,Jardim Paulista,São Paulo,360,4,5,4,R$ 1.800.000,R$,1.800.000,,1800000.0
,Jardim Guedala,São Paulo,354,4,6,4,R$ 2.950.000,R$,2.950.000,,2950000.0
Rua Pero Correia,Vila Mariana,São Paulo,250,3,3,1,R$ 1.350.000,R$,1.350.000,,1350000.0
Avenida Ouro Verde de Minas,Jardim Imperador (Zona Leste),São Paulo,186,3,3,2,R$ 750.000,R$,750.000,,750000.0
Rua Inglaterra,Jardim Europa,São Paulo,756,5,4,10,R$ 37.000.000,R$,37.000.000,,37000000.0
"Avenida Ibiúna, 736 ",Vila Aricanduva,São Paulo,500,4,3,4,R$ 1.200.000,R$,1.200.000,,1200000.0
,Brooklin Paulista,São Paulo,400,5,6,4,R$ 2.500.000,R$,2.500.000,,2500000.0
,Sumaré,São Paulo,627,3,6,6,R$ 4.950.000,R$,4.950.000,,4950000.0
Rua Coronel Octávio Azeredo,Vila Mazzei,São Paulo,80,3,1,2,R$ 420.000,R$,420.000,,420000.0
"Rua Drosera, 120 ",Pirituba,São Paulo,190,3,2,4,R$ 920.000,R$,920.000,,920000.0
,Jardim Paulista,São Paulo,1060,5,5,4,R$ 30.000.000,R$,30.000.000,,30000000.0
Rua Timbó,Mooca,São Paulo,170,3,2,2,R$ 940.000,R$,940.000,,940000.0
"Rua Prudentópolis, 97 ",Boaçava,São Paulo,1192,4,3,6,R$ 6.200.000,R$,6.200.000,,6200000.0
,Vila Gustavo,São Paulo,200,4,3,1,R$ 550.000,R$,550.000,,550000.0
Rua José Clemente,Jardim Paulista,São Paulo,724,4,6,3,R$ 8.000.000,R$,8.000.000,,8000000.0
"Rua Araripe, 145 ",Vila Califórnia,São Paulo,300,6,3,2,R$ 430.000,R$,430.000,,430000.0
"Rua Lavras do Sul, 206 ",Vila Carolina,São Paulo,120,4,3,2,R$ 650.000,R$,650.000,,650000.0
Rua Marco Aurélio,Vila Romana,São Paulo,160,3,4,2,R$ 940.000,R$,940.000,,940000.0
Alameda dos Guainumbis,Planalto Paulista,São Paulo,200,4,6,3,R$ 2.014.000,R$,2.014.000,,2014000.0
"Avenida Júlio Buono, 578 ",Vila Gustavo,São Paulo,217,5,3,2,R$ 670.000,R$,670.000,,670000.0
Rua Monsenhor Moura,Vila Leopoldina,São Paulo,167,2,2,2,R$ 820.000,R$,820.000,,820000.0
Rua dos Tamanás,Vila Madalena,São Paulo,440,4,5,4,R$ 3.950.000,R$,3.950.000,,3950000.0
Praça Doutor Carvalho Franco,Vila Mariana,São Paulo,250,3,5,2,R$ 2.450.000,R$,2.450.000,,2450000.0
Rua Maria Ramos,Vila São Paulo,São Paulo,250,5,6,2,R$ 486.000,R$,486.000,,486000.0
"Rua Kansas, 1326 ",Brooklin Paulista,São Paulo,70,2,4,2,R$ 800.000,R$,800.000,,800000.0
Rua Engenheiro Dolabela,Jardim Bandeirantes (Zona Norte),São Paulo,455,4,5,3,R$ 680.000,R$,680.000,,680000.0
"Rua Francisco Bellazzi, 120 ",Jardim Jaraguá,São Paulo,80,2,1,1,R$ 245.000,R$,245.000,,245000.0
"Rua Gonçalo Pires, 304 ",Vila Morse,São Paulo,125,3,3,1,R$ 610.000,R$,610.000,,610000.0
Rua Cautaros,Itaquera,São Paulo,185,3,5,5,R$ 460.000,R$,460.000,,460000.0
"Avenida Avelino Paranho, 119 ",Vila Talarico,São Paulo,250,5,3,5,R$ 850.000,R$,850.000,,850000.0
"Rua Manoel João Pereira, 80 ",Vila Matilde,São Paulo,131,3,2,2,R$ 540.000,R$,540.000,,540000.0
"Rua Getúlio Vargas Filho, 572 ",Cidade Vargas,São Paulo,114,3,4,2,R$ 550.000,R$,550.000,,550000.0
Rua Bernardo Vieira,Vila Laís,São Paulo,104,1,1,1,R$ 270.000,R$,270.000,,270000.0
Rua Marechal Bina Machado,Jardim Marajoara,São Paulo,360,4,5,4,R$ 1.750.000,R$,1.750.000,,1750000.0
"Rua Doutor Augusto de Miranda, 1046 ",Vila Pompéia,São Paulo,98,3,3,1,R$ 1.050.000,R$,1.050.000,,1050000.0
Alameda dos Ciprestes,Chácara Santo Antônio (Zona Sul),São Paulo,351,4,4,4,R$ 3.480.000,R$,3.480.000,,3480000.0
Rua José Clemente,Jardim Paulista,São Paulo,700,4,5,4,R$ 7.900.000,R$,7.900.000,,7900000.0
Rua Laplace,Brooklin Paulista,São Paulo,300,3,5,4,R$ 2.400.000,R$,2.400.000,,2400000.0
,Jardim Trussardi,São Paulo,125,3,4,3,R$ 800.000,R$,800.000,,800000.0
"Rua Aquiramun, 94 ",Alto de Pinheiros,São Paulo,450,5,6,5,R$ 5.500.000,R$,5.500.000,,5500000.0
,Vila Madalena,São Paulo,534,5,6,5,R$ 4.500.000,R$,4.500.000,,4500000.0
,Jardim dos Estados,São Paulo,340,4,6,3,R$ 3.000.000,R$,3.000.000,,3000000.0
Rua Rússia,Jardim Europa,São Paulo,200,3,3,2,R$ 2.700.000,R$,2.700.000,,2700000.0
